Type,Hue,Saturation,Value
Swamp,23.0,126.0,88.0
Swamp,23.0,126.0,104.0
Swamp,23.0,161.0,114.0
Swamp,25.0,109.0,119.0
Swamp,22.0,145.0,98.0
Swamp,105.0,254.0,173.0
Swamp,21.0,200.0,147.0
Swamp,20.0,209.0,143.0
Swamp,26.0,242.0,186.0
Swamp,42.0,222.0,147.0
Swamp,36.0,180.0,61.0
Swamp,42.0,210.0,152.0
Swamp,24.0,124.0,112.0
Swamp,27.0,242.0,191.0
Swamp,23.0,104.0,87.0
Swamp,20.0,157.0,78.0
Swamp,21.0,119.0,73.0
Swamp,22.0,103.0,85.0
Swamp,22.0,118.0,80.0
Swamp,20.0,78.0,80.0
Swamp,21.0,35.0,104.0
Swamp,21.0,106.0,91.0
Swamp,21.0,120.0,89.0
Swamp,22.0,88.0,89.0
Swamp,24.0,102.5,85.0
Swamp,21.0,164.0,74.0
Swamp,21.0,130.0,80.0
Swamp,22.0,109.0,84.0
Swamp,22.0,134.0,80.0
Swamp,21.0,78.0,80.0
Swamp,22.0,38.0,106.0
Swamp,22.0,99.0,93.0
Swamp,21.0,112.0,95.0
Swamp,21.0,76.0,107.0
Swamp,21.0,113.0,95.0
Swamp,21.0,80.0,82.0
Swamp,20.0,130.0,74.0
Swamp,21.0,74.0,104.0
Swamp,21.0,116.0,95.0
Swamp,21.0,125.0,79.0
Swamp,23.0,39.0,98.0
Swamp,21.0,111.0,78.0
Swamp,21.0,80.0,80.0
Swamp,20.0,111.0,84.0
Swamp,23.0,56.0,95.0
Swamp,22.0,75.5,82.0
Swamp,20.0,128.0,91.0
Swamp,21.0,108.0,95.0
Swamp,19.0,178.0,93.0
Swamp,19.0,98.0,120.0
Swamp,19.0,145.0,101.0
Swamp,19.0,180.0,104.0
Swamp,20.0,137.0,114.0
Swamp,19.0,155.0,89.0
Swamp,19.0,155.0,87.0
Swamp,19.0,54.0,116.0
Swamp,18.0,102.0,121.0
Swamp,18.0,123.0,113.0
Swamp,18.0,142.0,99.0
Swamp,19.0,132.0,106.0
Swamp,19.0,120.0,119.0
Swamp,18.0,130.0,100.0
Swamp,20.0,112.0,122.0
Swamp,18.0,155.0,111.0
Swamp,18.0,143.0,103.0
Mines,24.0,132.0,44.0
Mines,24.0,83.5,37.0
Mines,23.0,85.0,41.0
Mines,23.0,96.0,42.0
Mines,24.0,108.0,64.0
Mines,24.0,64.0,36.0
Mines,26.0,247.0,190.0
Mines,26.0,247.0,190.0
Mines,21.0,168.0,156.0
Mines,27.0,237.0,190.0
Mines,24.0,64.0,32.0
Mines,24.0,40.0,29.5
Mines,23.0,92.0,52.0
Mines,22.0,67.0,24.0
Mines,22.0,44.0,29.0
Mines,24.0,64.0,30.0
Mines,24.0,67.0,41.0
Mines,24.0,49.0,36.0
Mines,22.0,112.0,70.0
Mines,22.0,69.0,30.0
Mines,23.0,53.0,32.0
Mines,23.0,71.0,36.0
Mines,23.0,75.0,35.0
Mines,23.0,96.0,54.0
Mines,23.0,64.0,31.0
Mines,23.0,41.0,31.0
Mines,23.0,43.0,29.0
Mines,23.0,77.0,33.0
Mines,23.0,92.0,51.0
Mines,24.0,64.0,35.0
Mines,24.0,81.0,37.0
Mines,22.0,39.0,28.0
Mines,25.0,45.0,26.0
Mines,27.0,61.0,32.0
Mines,20.0,123.0,57.0
Mines,21.0,155.0,71.0
Mines,21.0,51.0,34.0
Mines,20.0,91.0,52.0
Mines,20.0,73.0,30.0
Mines,21.0,58.0,35.0
Mines,20.0,67.0,36.0
Mines,20.0,67.0,36.0
Castle,29.0,96.0,141.0
Castle,21.0,61.0,120.0
Castle,30.0,66.0,110.0
Castle,105.0,254.0,169.0
Castle,26.0,235.0,192.0
Castle,21.0,41.0,91.0
Castle,30.0,51.0,100.0
Castle,30.0,55.0,103.0
Castle,31.0,149.0,65.0
Castle,23.0,112.0,66.0
Castle,26.0,84.0,67.0
Castle,35.0,63.0,67.0
Castle,26.0,85.0,121.0
Castle,87.0,41.0,92.0
Castle,32.0,45.0,103.0
Castle,25.0,110.0,79.0
Castle,98.0,99.0,82.0
Castle,33.0,79.0,59.0
Castle,32.0,70.0,53.0
Castle,38.0,54.0,71.0
Castle,17.0,97.0,121.0
Castle,24.0,48.0,99.0
Table,22.0,151.0,116.0
Table,26.0,102.0,123.0
Table,21.0,167.0,157.0
Table,27.0,244.0,190.0
Table,24.0,106.0,115.0
Table,24.0,86.0,129.0
Table,19.0,187.0,132.0
Table,18.0,200.0,130.0
